control_id,theme,control_name,description,applicability,status,evidence,owner,due_date,priority,notes
A.7.13,Physique,Maintenance des équipements,Contrats de maintenance,Applicable,En place,Registre maintenance,IT Manager,Continu,Moyenne,
A.7.14,Physique,Élimination sécurisée,Procédure destruction supports,Applicable,En place,Prestataire certifie,IT Manager,N/A,Haute,
A.8.1,Technologique,Equipements utilisateur,Hardening + EDR sur postes,Applicable,En place,GPO + Defender for Endpoint,IT Sec,Continu,Haute,
A.8.2,Technologique,Droits d'accès privilégiés,PAM en place,Applicable,Partiel,CyberArk 80% perimetre,IT Sec,2026-09-30,Haute,
A.8.3,Technologique,Restriction d'accès information,Modele Zero Trust en migration,Applicable,Partiel,Conditional Access OK / Zero Trust 2027,IT Sec,2027-06-30,Haute,
A.8.4,Technologique,Acces code source,Branch protection + revues,Applicable,En place,GitHub branch rules,DevOps Lead,N/A,Haute,
A.8.5,Technologique,Authentification sécurisée,MFA obligatoire + SSO,Applicable,En place,Azure AD MFA 100%,IT Sec,N/A,Haute,
A.8.6,Technologique,Gestion de capacité,Capacity planning trimestriel,Applicable,En place,Dashboard infra,IT Manager,Continu,Moyenne,
A.8.7,Technologique,Protection contre malware,EDR + email security,Applicable,En place,Defender XDR,SOC,Continu,Haute,
A.8.8,Technologique,Gestion vulnérabilités techniques,Scan continu + patch SLA,Applicable,En place,Nessus + Patch Tuesday + SLA 30j critique,IT Sec,Continu,Haute,
A.8.9,Technologique,Gestion de configuration,IaC + CMDB,Applicable,En place,Ansible + ServiceNow,DevOps,Continu,Haute,
A.8.10,Technologique,Effacement information,Procedure data wipe,Applicable,En place,DBAN + procedure,IT Sec,N/A,Moyenne,
A.8.11,Technologique,Masquage des données,Anonymisation env non-prod,Applicable,Partiel,Tool en pilote,DBA,2026-12-31,Moyenne,
A.8.12,Technologique,Prévention fuite de données,DLP M365 + email,Applicable,En place,Purview DLP,IT Sec,Continu,Haute,
A.8.13,Technologique,Sauvegarde,Stratégie 3-2-1 + tests,Applicable,En place,Veeam + tests restauration mensuels,IT Manager,Continu,Haute,
A.8.14,Technologique,Redondance des moyens TI,HA sur services critiques,Applicable,En place,Architecture multi-AZ,IT Infra,N/A,Haute,
A.8.15,Technologique,Journalisation,Centralisation logs SIEM,Applicable,En place,Sentinel + 90j retention,SOC,Continu,Haute,
A.8.16,Technologique,Surveillance activités,Monitoring 24/7,Applicable,En place,SOC managé,SOC Lead,Continu,Haute,
A.8.17,Technologique,Synchronisation des horloges,NTP centralisé,Applicable,En place,2 sources NTP,IT Infra,N/A,Basse,
A.8.18,Technologique,Utilisation utilitaires privilégiés,Restreints + journalisés,Applicable,En place,PAM + bastion,IT Sec,N/A,Haute,
A.8.19,Technologique,Installation logiciels en exploitation,Restrictions + revue,Applicable,En place,SCCM + appstore interne,IT Manager,Continu,Moyenne,
A.8.20,Technologique,Sécurité des réseaux,Segmentation + NAC,Applicable,En place,VLAN + 802.1X,IT Infra,N/A,Haute,
A.8.21,Technologique,Sécurité services réseau,SLAs + monitoring,Applicable,En place,Catalog services,IT Infra,Continu,Moyenne,
A.8.22,Technologique,Cloisonnement des réseaux,Micro-segmentation,Applicable,Partiel,Pilote prod en cours,IT Infra,2026-12-31,Moyenne,
A.8.23,Technologique,Filtrage Web,Proxy + DNS filtering,Applicable,En place,Zscaler,IT Sec,Continu,Moyenne,
A.8.24,Technologique,Chiffrement,Politique crypto + AES-256,Applicable,En place,Politique CRYPTO-001,RSSI,N/A,Haute,
A.8.25,Technologique,Cycle de vie développement secure,SDLC sécurisé,Applicable,En place,DevSecOps + threat modeling,DevSecOps,Continu,Haute,
A.8.26,Technologique,Exigences sécurité applications,Spec sécurité dans backlog,Applicable,En place,Templates JIRA,Product Owner,N/A,Moyenne,
A.8.27,Technologique,Architecture sécurisée,Revues d'architecture,Applicable,En place,Comite ARB mensuel,Architecte,N/A,Haute,
A.8.28,Technologique,Codage sécurisé,Standards + SAST,Applicable,En place,Sonar + Semgrep en CI,DevSecOps,Continu,Haute,
A.8.29,Technologique,Tests sécurité en dev,DAST + IAST,Applicable,Partiel,OWASP ZAP en CI / IAST pilote,DevSecOps,2026-09-30,Moyenne,
A.8.30,Technologique,Développement externalisé,Clauses contractuelles + audits,Applicable,En place,Clauses type,Achats,N/A,Moyenne,
A.8.31,Technologique,Séparation env dev/test/prod,Environnements isolés,Applicable,En place,VPC distincts,DevOps,N/A,Haute,
A.8.32,Technologique,Gestion des changements,Change Advisory Board,Applicable,En place,Procedure ITIL,IT Manager,Continu,Haute,
A.8.33,Technologique,Information de test,Pas de donnees prod en test,Applicable,Partiel,Anonymisation en cours,DBA,2026-12-31,Haute,
A.8.34,Technologique,Protection SI lors d'audits,Procédure d'audit,Applicable,En place,Procedure AUDIT-001,RSSI,N/A,Basse,
